"iAZ900";"Freq"
"1";"Alanine and Aspartate Metabolism";9
"2";"Anaplerotic Reactions";11
"3";"Arabinose Metabolism";3
"4";"Arginine and Proline Metabolism";33
"5";"Asparagine Metabolism";2
"6";"Citric Acid Cycle";13
"7";"Complex Alcohol Metabolism";27
"8";"Fatty Acid Biosynthesis";63
"9";"Fatty Acid Degradation";46
"10";"Folate Metabolism";29
"11";"Fructose and Mannose Metabolism";6
"12";"Galactose Metabolism";13
"13";"Glutamate, Glutamine and Glutathione Metabolism";37
"14";"Glycerolipid Metabolism";12
"15";"Glycine, Serine, Lysine and Threonine Metabolism";38
"16";"Glycolysis and Gluconeogenesis";22
"17";"Glycoprotein Metabolism";7
"18";"Histidine Metabolism";14
"19";"Methane Metabolism";2
"20";"Methionine and Cysteine Metabolism";29
"21";"NAD Biosythesis";24
"22";"Nitrogen Metabolism";17
"23";"Nucleotide Salvage Metabolism";83
"24";"Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)";30
"25";"Others";10
"26";"Oxidative Phosphorylation";19
"27";"Pantothenate and CoA Biosynthesis";21
"28";"Pentose Phosphate Pathway";13
"29";"Phospholipid Biosynthesis";56
"30";"Porphyrin and Chlorophyll Metabolism";13
"31";"Purine and Pirimidine Biosynthesis";53
"32";"Pyridoxine Metabolism";9
"33";"Pyruvate Metabolism";18
"34";"Quinone Biosynthesis";17
"35";"Sphingolipid Metabolism";63
"36";"Starch and Sucrose Metabolism";2
"37";"Sterol Metabolism";51
"38";"Taurine Metabolism";1
"39";"Thiamine Metabolism";14
"40";"tRNA Synthesis";35
"41";"Tyrosine, Tryptophan and Phenylalanine Metabolism";44
"42";"Valine, Leucine and Isoleucine Metabolism";19
